realSum_mn_mx,person_capacity_mn_mx,cleanliness_rating_mn_mx,guest_satisfaction_overall_mn_mx,dist_mn_mx,metro_dist_mn_mx,attr_index_mn_mx,attr_index_norm_mn_mx,rest_index_mn_mx,rest_index_norm_mn_mx,lng_mn_mx,lat_mn_mx
0.008668844052379351,0.0,0.5,0.6125,0.3294760329554602,0.04620188893419606,0.11252693360042959,0.11252693360042959,0.08778473581980424,0.08778473581980423,0.5430515219963429,0.6895056374674773
0.01837550746314215,0.0,1.0,0.95,0.27477830667093994,0.1583123590542023,0.12165484197040953,0.12165484197040947,0.10377856998398428,0.10377856998398427,0.4489351403678606,0.7911039524222371
0.018039742376606327,0.25,1.0,0.9375,0.2636544169612658,0.04764423545845215,0.14613101645926646,0.14613101645926654,0.10880062011624937,0.10880062011624934,0.2846348284392814,0.8277784661132498
0.01636091694392723,0.0,0.875,0.8375,0.11655869169261703,0.01296867919031985,0.29466687911431283,0.29466687911431283,0.23459994381403948,0.23459994381403954,0.3914972571797354,0.6608846487423952
0.04560300357131955,0.25,0.625,0.5625,0.2575550923195901,0.037142449648032295,0.18232382411617482,0.18232382411617482,0.14710051831773083,0.1471005183177308,0.17137248574809075,0.49306157849086985
0.03891822593937914,0.0,0.875,0.9125,0.25620196467011064,0.03677585389917756,0.1847862854863533,0.18478628548635329,0.14984224397236937,0.1498422439723693,0.1711573625900828,0.49764589270224646
0.048808033942797834,0.0,1.0,0.9625,0.10108044311847901,0.026195023133280128,0.321471578338507,0.321471578338507,0.2480379152368924,0.2480379152368923,0.38041841454232544,0.6556188824185208
0.024724520008546743,0.0,0.875,0.85,0.13832102394563126,0.058178090001676876,0.25062887734753714,0.2506288773475371,0.2109987936950201,0.2109987936950201,0.3637194794019576,0.7102589518027363
0.04981532920240529,0.5,0.875,0.8375,0.08390207945595064,0.012265591817929593,0.37025488946565394,0.3702548894656541,0.3499644324770998,0.3499644324770997,0.31055716897924057,0.6577251889480794
0.009676139311986812,0.0,1.0,0.9625,0.7387523946055483,0.5762485720215965,0.020291543467572132,0.020291543467572126,0.01473370637585326,0.014733706375853256,0.7803054748843713,0.2717754925040168
0.03391227374011782,0.5,0.75,0.8625,0.4445975876722064,0.13960655597668428,0.06529115514616105,0.06529115514616105,0.05082836717634664,0.050828367176346624,0.6029633215015598,0.770102837318805
0.06654253533164432,0.0,1.0,0.975,0.3044139904913594,0.1719502181514688,0.10285409788017652,0.10285409788017652,0.08712201728099471,0.08712201728099471,0.24572442723459179,0.3153884277041376
0.01367479625164067,0.0,1.0,0.975,0.31606158076115093,0.07824700842782974,0.09381331552809945,0.09381331552809946,0.07323366346728341,0.07323366346728341,0.3375013445197375,0.2755544542188091
0.012698025090809195,0.0,1.0,0.975,0.39528601788472334,0.050399253954592424,0.08229599532940113,0.08229599532940116,0.06441491332517824,0.06441491332517822,0.5844627299128751,0.7111262544913859
0.003998656939653856,0.0,1.0,1.0,0.9223063669372668,0.6255259012099406,0.004690886875174945,0.004690886875174937,0.00344807641443422,0.003448076414434216,0.9457351833924923,0.4497583942510313
0.1401056133817649,1.0,0.875,0.9125,0.19492784007287975,0.017906312543065402,0.35000440815262013,0.35000440815262013,0.18789677720769243,0.1878967772076924,0.21614499300849732,0.4962210382852297
0.010164524892402552,0.0,1.0,0.975,0.4752140595011835,0.33582613612948425,0.04864469780270229,0.04864469780270229,0.037856955699963155,0.03785695569996315,0.38708723244057214,0.12879444926282516
0.031439821739263143,0.0,1.0,0.9875,0.12490166997375356,0.03988990505926051,0.35417360026331945,0.35417360026331957,0.21867333004841802,0.21867333004841805,0.41645154350865865,0.551542559781943
0.03644577393852446,0.0,1.0,0.95,0.13207880686102055,0.04795729149667086,0.26247715054388615,0.2624771505438861,0.21802425243625767,0.21802425243625762,0.3930300096805421,0.6794077561640534
0.038124599371203556,0.0,1.0,0.9625,0.15460378716468945,0.03776197766183885,0.23148231874851707,0.23148231874851707,0.1885501887732097,0.18855018877320967,0.3911476820479724,0.7085243464254813
0.07319678886480875,0.0,1.0,0.9875,0.18216181503910137,0.05333846597020819,0.19390154845402,0.19390154845402,0.16313822128532404,0.16313822128532401,0.4105625470581908,0.7211002354107233
0.02307621867464363,0.0,0.375,0.625,0.3795670079595683,0.17559012409877672,0.07276701258880573,0.07276701258880573,0.05496585884344768,0.054965858843447665,0.40929869850489403,0.23076446536984452
0.017032447116998868,0.0,0.875,0.9125,0.38688071676035657,0.18631759874861192,0.07056954598261338,0.07056954598261336,0.053205428482288514,0.053205428482288514,0.40897601376788206,0.22326849213232514
0.02139739324196453,0.0,0.875,0.8875,0.30828774969447914,0.04922971241922009,0.12898278910253005,0.12898278910253005,0.10049198732291158,0.10049198732291156,0.5345003764655265,0.6606987981662875
0.06284911937975031,0.5,1.0,0.975,0.27131446501451323,0.05124217688169101,0.11606413805013333,0.11606413805013337,0.08368173072572975,0.08368173072572974,0.37278154243304285,0.3245570561268908
0.008027837978083699,0.0,1.0,0.9625,0.5324696810230728,0.5902387434220204,0.04434618410048335,0.04434618410048334,0.03204875089085421,0.032048750890854204,0.5930407658384425,0.2271094040391387
0.009676139311986812,0.0,1.0,0.9375,0.8037372065452053,0.5405430046102481,0.014076162919520263,0.014076162919520267,0.010531389033102643,0.010531389033102646,0.8610304399268581,0.41779209515552573
